study_hours,play_hours,sleep_hours,tv_hours,pass
5.49,1.86,6.19,1.78,1
4.22,1.82,6.63,1.95,0
5.8,0.0,6.28,2.1,1
7.55,2.0,7.13,3.42,1
4.03,3.6,8.44,0.88,1
4.03,0.59,6.07,0.73,1
7.66,4.07,8.2,3.85,1
6.03,3.23,6.06,1.31,0
3.56,1.4,5.98,0.11,1
5.59,2.29,7.98,1.27,1
3.57,4.9,8.11,1.5,0
3.57,3.6,8.02,4.33,0
4.98,2.51,5.42,3.39,0
0.67,2.14,6.44,3.72,0
1.05,2.61,7.99,3.23,0
3.38,1.73,7.05,3.42,0
2.47,0.0,5.71,0.97,1
5.13,5.56,7.55,1.7,1
2.68,2.73,6.14,0.52,1
1.68,3.1,9.15,1.68,0
7.43,2.41,8.85,3.03,1
4.05,1.4,7.72,2.2,1
4.64,2.22,8.63,3.97,1
1.65,0.1,7.08,0.29,1
3.41,5.92,7.92,2.75,0
4.72,0.65,8.77,0.13,1
2.2,0.95,7.29,2.14,0
5.25,1.84,6.69,3.11,1
3.3,4.43,4.95,1.68,1
3.92,2.52,6.9,2.83,0
3.3,0.65,7.99,0.56,1
8.2,4.38,8.13,0.0,1
4.47,3.6,7.61,2.84,1
2.38,3.31,6.35,4.62,0
6.15,3.57,4.63,0.51,1
2.06,6.09,6.41,3.83,0
4.92,5.78,6.63,2.07,1
0.58,1.47,6.62,0.0,0
1.84,4.94,7.74,0.3,0
4.89,3.07,9.38,2.02,1
5.98,3.25,7.15,1.39,1
4.84,0.0,6.74,0.03,1
4.27,2.24,6.69,0.0,1
3.9,1.28,7.15,0.73,0
1.54,3.74,6.01,2.29,0
3.06,4.11,7.14,1.99,0
3.58,0.0,7.54,1.25,0
6.61,2.47,7.25,2.3,0
5.19,4.18,7.55,3.56,0
0.97,2.22,7.52,2.59,1
5.15,3.59,4.87,1.82,0
3.73,3.03,7.76,3.39,1
3.15,3.01,6.19,0.56,1
5.72,2.09,5.68,1.66,1
6.56,0.68,5.67,1.7,1
